ZIPCODE,owner,full_address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
02215,"BOSTON UNIVERSITY TRST OF","70 BAY STATE RD, 02215",42.349799,-71.096142,1,rooftop,70,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST OF","94 BAY STATE RD, 02215",42.34986,-71.09714,1,rooftop,94,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST OF","68 BAY STATE RD, 02215",42.349791,-71.096059,1,rooftop,68,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST OF","197 BAY STATE RD, 02215",42.35071,-71.102346,1,rooftop,197,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST OF","12 BABBITT ST, 02215",42.349123,-71.105729,1,rooftop,12,"Babbitt St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST OF","43 BUSWELL ST, 02215",42.34739,-71.10668,1,rooftop,43,"Buswell St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST OF","41 BUSWELL ST, 02215",42.34741,-71.10661,1,rooftop,41,"Buswell St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST OF","96 100 MOUNTFORT ST, 02215",42.348119,-71.105316,1,rooftop,100,"Mountfort St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST OF","55 BUSWELL ST, 02215",42.34731,-71.10694,1,rooftop,55,"Buswell St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRST OF","616 620 COMMONWEALTH AV, 02215",42.349206,-71.10208,0.9,range_interpolation,616,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02215,US,"TIGER/Line® dataset from the US Census Bureau"
02118,"BOSTON UNIVERSITY TRSTS","E NEWTON ST, 02118",42.337396,-71.072184,1,street_center,,"E Newton St",,,Boston,MA,"Suffolk County",02118,US,"TIGER/Line® dataset from the US Census Bureau"
02118,"BOSTON UNIVERSITY TRSTS","790 HARRISON AV, 02118",42.336154,-71.073157,1,rooftop,790,"Harrison Ave",,,Boston,MA,"Suffolk County",02118,US,"City of Boston"
02118,"BOSTON UNIVERSITY TRSTS","E NEWTON ST, 02118",42.337396,-71.072184,1,street_center,,"E Newton St",,,Boston,MA,"Suffolk County",02118,US,"TIGER/Line® dataset from the US Census Bureau"
02118,"BOSTON UNIVERSITY TRSTS","78 E CONCORD ST, 02118",42.33596,-71.07235,1,rooftop,78,"E Concord St",,,Boston,MA,"Suffolk County",02118,US,"City of Boston"
02118,"BOSTON UNIVERSITY TRSTS","80 E CONCORD ST, 02118",42.335974,-71.072253,1,rooftop,80,"E Concord St",,,Boston,MA,"Suffolk County",02118,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","30 BAY STATE RD, 02215",42.34977,-71.09439,1,rooftop,30,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","521 BEACON ST, 02215",42.350322,-71.090687,1,rooftop,521,"Beacon St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRSTS","30 BAY STATE RD, 02215",42.34977,-71.09439,1,rooftop,30,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
